LOT_SQFT,YR_BUILT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,REMODEL_None,REMODEL_Recent,TOTAL_VALUE
9965,1880,2436,1352,2,6,3,1,1,1,0,1,0,344.2
6590,1945,3108,1976,2,10,4,2,1,1,0,0,1,412.6
7500,1890,2294,1371,2,8,4,1,1,1,0,1,0,330.1
13773,1957,5032,2608,1,9,5,1,1,1,1,1,0,498.6
5000,1910,2370,1438,2,7,3,2,0,1,0,1,0,331.5
5142,1950,2124,1060,1,6,3,1,0,1,1,0,0,337.4
5000,1954,3220,1916,2,7,3,1,1,1,0,1,0,359.4
10000,1950,2208,1200,1,6,3,1,0,1,0,1,0,320.4
6835,1958,2582,1092,1,5,3,1,0,1,1,0,1,333.5
5093,1900,4818,2992,2,8,4,2,0,1,0,1,0,409.4
5000,1960,2624,1485,1.5,6,3,2,0,1,1,1,0,313
6768,1958,2844,1460,1.5,6,3,2,0,1,1,1,0,344.5
5000,1889,2196,1290,2,6,3,1,0,1,0,1,0,315.5
12288,2004,4616,2378,2,9,4,2,1,1,1,1,0,575
5000,1954,2536,1272,1.5,6,3,1,1,1,1,1,0,326.2
5000,1940,2129,864,1,7,3,2,0,1,0,1,0,298.2
6949,1880,2612,1438,1.5,7,3,1,1,1,0,0,0,313.1
10000,1950,2099,1445,1,7,3,1,1,1,1,1,0,344.9
5000,1910,2408,1470,2,7,3,1,0,1,0,1,0,330.7
9001,1875,2840,1632,2,7,3,1,0,1,0,1,0,348
4450,1920,1400,1232,2,7,3,1,0,1,0,1,0,317.5
5000,1889,2560,1302,1.5,6,2,1,0,1,0,0,1,330.8
12255,1944,2631,1275,1.5,6,3,1,1,1,1,1,0,357.8
12972,1892,3796,2054,1.5,6,3,3,0,1,0,1,0,414.7
4717,1900,2512,1371,2,7,3,1,1,1,0,1,0,318.8
5000,1910,2655,1541,2,7,3,1,0,1,0,1,0,346.2
4142,1880,1892,927,1.5,5,2,1,0,1,0,1,0,245.1
5000,1910,2596,1244,1.5,7,3,1,0,1,0,1,0,317.4
4012,1896,1994,1048,1.5,6,3,1,0,1,0,1,0,247.3
13275,1910,1516,808,1.5,6,2,1,1,1,0,1,0,320.8
4717,1906,2824,1469,1.5,6,3,2,0,1,0,1,0,328.8
4289,1910,2286,1436,2,7,3,1,0,1,0,1,0,293.6
10688,1890,3014,1625,2,7,4,1,0,1,0,1,0,280.1
4717,1925,2802,1620,2,7,3,1,1,1,0,1,0,342.5
5000,1920,3112,1906,2,9,4,2,0,1,0,1,0,337.2
6842,1910,2269,1393,2,6,3,2,0,1,0,1,0,336.5
6675,1945,2392,1394,1.5,6,2,2,0,1,0,1,0,315.6
5683,1960,2982,1452,1,6,3,1,1,1,1,1,0,296.5
5450,1963,2112,960,1,5,3,1,0,1,1,1,0,239.7
4717,1915,3222,1803,1,7,3,1,1,1,0,1,0,318.4
6733,1990,2880,1792,2,7,3,2,1,1,1,0,0,431.5
7242,1910,2496,1460,2,7,3,1,1,1,0,1,0,349.8
5683,1940,3136,1870,2,9,4,2,0,1,1,1,0,344
6138,1910,2500,1690,2,7,3,1,1,1,0,1,0,358.3
11250,1900,2830,1391,1.5,6,3,1,0,1,0,0,0,346.2
5683,1995,4100,2640,2,6,3,1,1,1,1,0,1,490.7
7001,1996,2320,1500,2,7,3,2,1,1,1,1,0,371.9
4717,1910,2592,1572,2,7,3,1,1,1,0,1,0,325.3
8489,1950,2368,1326,1.5,6,3,1,1,1,1,1,0,340.5
7139,1996,2340,1500,2,7,3,2,1,1,0,1,0,432.5
4584,1907,3288,1694,2,7,3,1,1,1,0,1,0,334.7
7193,1900,2740,1508,2,7,3,1,0,1,0,1,0,314.3
3867,1996,2431,1560,2,7,3,2,1,1,1,1,0,405.5
4262,1960,2090,1300,2,7,3,1,1,1,1,1,0,326
5325,1945,3060,1364,1,5,2,1,0,1,1,1,0,285.6
8005,1900,2490,1562,2,7,3,1,1,1,1,1,0,345.9
7234,1910,2289,1440,2,7,3,1,0,1,0,1,0,317.3
5959,1940,2036,1018,1,5,3,1,1,1,1,1,0,277.8
7785,1860,2038,1056,1.5,6,3,1,0,1,0,1,0,306.8
3887,1950,2364,1075,1,6,3,2,0,1,1,0,0,265.7
5906,1967,2368,2051,1,8,4,1,1,1,2,1,0,356.8
5401,1991,1800,1800,2,6,3,1,1,1,1,1,0,299.9
3204,1991,1800,1800,2,6,3,1,1,1,1,1,0,287.8
2947,1991,1800,1800,2,6,3,1,1,1,1,1,0,296
4241,1991,1800,1800,2,6,3,1,1,1,1,1,0,300.6
8249,2007,4390,2708,2,8,4,2,1,1,1,1,0,566.3
7655,1910,3013,1318,1.5,7,3,1,0,1,0,1,0,286
10000,1875,2232,1392,2,7,3,1,1,1,0,1,0,351.2
5058,1910,3362,1763,2,8,4,2,0,1,0,0,1,365.1
6330,1940,2644,1386,1.5,6,3,1,0,1,0,1,0,330
4984,1940,2441,1464,2,7,3,1,1,1,1,0,1,354.1
